InputTextID,MeanDist,Hamming,Score
fsa1,0.29834285378456116,0.25,0.5483428537845612
fsa1,0.27542415261268616,0.0,0.27542415261268616
fsa1,0.2949990928173065,0.0,0.2949990928173065
fsa1,0.0001726334885461256,0.0,0.0001726334885461256
fsa1,0.30108362436294556,0.0,0.30108362436294556
fsa1,0.29834285378456116,0.25,0.5483428537845612
fsa1,0.29834285378456116,0.25,0.5483428537845612
fsa1,0.27542415261268616,0.0,0.27542415261268616
fsa1,0.29834285378456116,0.25,0.5483428537845612
fsa1,0.0001726334885461256,0.0,0.0001726334885461256
fsa1,0.30108362436294556,0.0,0.30108362436294556
fsa1,0.27542415261268616,0.0,0.27542415261268616
fsa1,0.27542415261268616,0.0,0.27542415261268616
fsa1,0.0001726334885461256,0.0,0.0001726334885461256
fsa1,0.29834285378456116,0.25,0.5483428537845612
fsa1,0.29834285378456116,0.25,0.5483428537845612
fsa1,0.29834285378456116,0.25,0.5483428537845612
fsa1,0.30108362436294556,0.0,0.30108362436294556
fsa1,0.29834285378456116,0.25,0.5483428537845612
fsa1,0.30108362436294556,0.0,0.30108362436294556
fsa1,0.29834285378456116,0.25,0.5483428537845612
fsa2,0.30018383264541626,0.0,0.30018383264541626
fsa2,0.2981443703174591,0.0,0.2981443703174591
fsa2,0.6380441784858704,0.0,0.6380441784858704
fsa2,0.2981443703174591,0.0,0.2981443703174591
fsa2,0.3285659849643707,0.0,0.3285659849643707
fsa2,0.3281719386577606,0.0,0.3281719386577606
fsa2,0.3285659849643707,0.0,0.3285659849643707
fsa2,0.3285659849643707,0.0,0.3285659849643707
fsa2,0.30018383264541626,0.0,0.30018383264541626
fsa2,0.3277934491634369,0.0,0.3277934491634369
fsa2,0.30018383264541626,0.0,0.30018383264541626
fsa2,0.3285659849643707,0.0,0.3285659849643707
fsa2,0.30018383264541626,0.0,0.30018383264541626
fsa2,0.30018383264541626,0.0,0.30018383264541626
fsa2,0.30018383264541626,0.0,0.30018383264541626
fsa2,0.30018383264541626,0.0,0.30018383264541626
fsa2,0.30018383264541626,0.0,0.30018383264541626
fsa2,0.6328509449958801,0.0,0.6328509449958801
fsa2,0.30018383264541626,0.0,0.30018383264541626
fsa2,0.32126832008361816,0.0,0.32126832008361816
fsa2,0.30018383264541626,0.0,0.30018383264541626
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.6925643682479858,0.0,0.6925643682479858
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.6429078578948975,0.0,0.6429078578948975
fsa3,0.6429078578948975,0.0,0.6429078578948975
fsa3,0.6738057136535645,0.0,0.6738057136535645
fsa3,0.652758777141571,0.0,0.652758777141571
fsa3,0.6738057136535645,0.0,0.6738057136535645
fsa3,0.652758777141571,0.0,0.652758777141571
fsa4,0.857604444026947,0.0,0.857604444026947
fsa4,1.1741303205490112,0.0,1.1741303205490112
fsa4,0.857604444026947,0.0,0.857604444026947
fsa4,0.8796091079711914,0.0,0.8796091079711914
fsa4,0.857604444026947,0.0,0.857604444026947
fsa4,0.857604444026947,0.0,0.857604444026947
fsa4,0.8852594494819641,0.0,0.8852594494819641
fsa4,0.8937758207321167,0.0,0.8937758207321167
fsa4,0.8937758207321167,0.0,0.8937758207321167
fsa4,0.857604444026947,0.0,0.857604444026947
fsa4,0.6311121582984924,0.0,0.6311121582984924
fsa4,0.6311121582984924,0.0,0.6311121582984924
fsa4,0.6311121582984924,0.0,0.6311121582984924
fsa4,0.8796091079711914,0.0,0.8796091079711914
fsa4,0.8634453415870667,0.0,0.8634453415870667
fsa4,0.857604444026947,0.0,0.857604444026947
fsa4,1.1648502349853516,0.0,1.1648502349853516
fsa4,0.857604444026947,0.0,0.857604444026947
fsa4,0.857604444026947,0.0,0.857604444026947
fsa4,0.857604444026947,0.0,0.857604444026947
fsa4,0.8995907306671143,0.0,0.8995907306671143
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6589773893356323,0.0,0.6589773893356323
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6457171440124512,0.0,0.6457171440124512
fsa5,0.6457171440124512,0.0,0.6457171440124512
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6457171440124512,0.0,0.6457171440124512
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.650902271270752,0.0,0.650902271270752
fsa5,0.6427022218704224,0.25,0.8927022218704224
fsa5,0.6427022218704224,0.25,0.8927022218704224
